symbol,long_name,r2,diff_pct,slope
SYK,Stryker Corporation,0.8483816267064518,0.09309016310853015,0.1587015451182377
GWW,"W.W. Grainger, Inc.",0.78352612865003,0.7445645789544887,0.5768878371615099
NOW,"SERVICENOW, INC.",0.8118584342651753,0.5721213685626862,0.6855424161649509
SHW,The Sherwin-Williams Company,0.7693574900044305,0.2667122527992818,0.17415762339702476
V,VISA Inc.,0.8830440290756479,1.6979145914918843,0.16234660281916438
ROP,"Roper Technologies, Inc. Common Stock",0.7374594384938331,0.5667008898810597,0.12780213844210833
PKG,Packaging Corp of America,0.7267264199463943,0.061673371272290375,0.11869431240093922
MA,Mastercard Incorporated,0.9261966697712393,2.3219260252930347,0.25587280698069076
VZ,Verizon Communications,0.7446303176709133,0.7287094655761928,0.013555539142388546
TMUS,"T-Mobile US, Inc.",0.9240263178268245,0.4231229972561702,0.18405474552940837
ORLY,"O'Reilly Automotive, Inc.",0.9042170006936221,0.03315859783595075,0.043650687083579595
